VAT%,Price (€),Product,Description,Company
24%,299.99,Smartphone,"Latest model with 128GB storage, dual camera",NordicTech Oy
24%,59.90,Wireless Headphones,"Over-ear, noise-cancelling, 20h battery",Helsinki Audio AB
24%,12.50,Coffee Beans (250g),"Arabica roast, medium-bodied",Kahvila & Co
14%,3.20,Bread (Loaf),"Freshly baked sourdough, 500g",Leipomo Laine
24%,45.00,Electric Kettle,"1.7L, auto shut-off, stainless steel",Kodinkoneet Oy
24%,129.00,Blender,"700W, glass jug, smoothie mode",Keittiö Kulma
24%,19.90,Running Socks (2 pk),"Breathable, moisture-wicking",SporttiStore
10%,7.50,Children's Book,"Illustrated storybook, ages 3-6",Lasten Kirjat Oy
24%,249.00,Tablet,"10.1" screen, 64GB storage",TietoTabletit
24%,8.90,Shampoo (400ml),"Nourishing, suitable for all hair types",KauneusKauppa
24%,199.00,Smartwatch,"Heart rate monitor, GPS, notifications",AikaTech
24%,79.00,Coffee Machine (Capsule),"Compact, fast heat-up",KahviKoneet
14%,6.00,Cheese (200g),"Semi-hard, aged 3 months",MaitoMestarit
10%,2.50,Bus Ticket,"Single ride within city zone",CityTransit
24%,349.00,Laptop Bag,"15.6" padded, water-resistant",MatkaVaruste
24%,24.90,Electric Toothbrush,"Rechargeable, 2 brushing modes",Hammashuolto Oy
24%,4.50,Notebook A5,"80 pages, lined",PaperiShop
24%,89.00,Portable Speaker,"Bluetooth, waterproof",ÄäniBox
24%,15.00,T-Shirt,"100% cotton, unisex, size M",Vaatteet Finland
24%,39.90,Jeans,"Slim fit, stretch fabric",DenimHouse
24%,5.99,Chocolate Bar,"70% cocoa, 100g",Makeiset & Co
24%,59.00,Office Chair,"Ergonomic, adjustable height",ToimistoTrend
24%,14.90,LED Desk Lamp,"Flexible neck, touch control",ValoDesign
24%,3.80,Green Tea (20 bags),"Organic, antioxidant-rich",TeeTalo
24%,249.00,Vacuum Cleaner,"Bagless, 800W, HEPA filter",PuhdasKoti
24%,49.90,Electric Fan,"3 speeds, oscillation",IlmaLaitteet
10%,18.00,Movie Ticket,"Standard seat, evening show",KinoKeskus
24%,89.90,Hair Dryer,"2000W, ionic technology",HiusStudio
24%,5.50,Yogurt (150g),"Natural, live cultures",MaitoMestarit
14%,11.50,Pastry,"Sweet bun, freshly made",Leipomo Laine
24%,129.00,Monitor 24","Full HD, HDMI, 75Hz",NäyttöNorden
24%,6.20,Socks (3 pk),"Cotton blend, assorted colors",Vaatteet Finland
24%,149.00,Home Router,"Dual-band, parental controls",NettiVirta
24%,39.00,Blouse,"Lightweight, size S",Vaatteet Finland
24%,7.90,Soap (3-pack),"Natural ingredients, gentle",KauneusKauppa
24%,22.50,Backpack,"20L, multiple compartments",MatkaVaruste
24%,16.99,Cookbook,"100 easy recipes for everyday cooking",Keittiö Kulma
24%,4.20,Water Bottle (500ml),"BPA-free, leak-proof",MatkaVaruste
24%,249.90,Camera (Compact),"20MP, 10x optical zoom",Valokuvaus Oy
24%,59.00,Electric Grill,"Indoor, non-stick plate",Keittiö Kulma
24%,3.99,Energy Drink,"250ml, caffeinated",JuomaPlus
24%,21.50,Wireless Mouse,"Ergonomic, 2.4GHz",TietoTabletit
24%,89.00,Kitchen Knife Set,"3-piece, stainless steel",Keittiö Kulma
24%,6.50,Face Cream (50ml),"Hydrating, for all skin types",KauneusKauppa
24%,129.90,Soundbar,"2.1 channel, wireless subwoofer",ÄäniBox
24%,4.00,Ice Cream (500ml),"Vanilla, creamy texture",Makeiset & Co
24%,7.50,USB Flash Drive 64GB,"High-speed, compact",TietoTabletit
24%,34.90,Pillow,"Memory foam, standard size",UniTarvikkeet
24%,499.00,Bicycle,"Hybrid, 21-speed, front suspension",PyöräPiste
24%,12.90,Herbal Tea (40g),"Relaxing chamomile blend",TeeTalo
24%,59.90,Pressure Cooker,"6L, safety lock",Keittiö Kulma
24%,3.60,Orange (each),"Fresh local produce",ToriMarket
24%,25.00,Sneakers,"Casual, breathable",SporttiStore
24%,149.90,Air Purifier,"HEPA filter, quiet mode",PuhdasKoti
24%,8.50,Hand Sanitizer (100ml),"Alcohol-based, quick dry",PuhdasKoti
24%,4.20,Granola (350g),"Oats, nuts, honey",Kahvila & Co
24%,199.00,Espresso Machine,"Semi-automatic, 15-bar pump",KahviKoneet
24%,89.90,Fitness Tracker,"Steps, sleep monitoring",SporttiStore
24%,3.20,Milk (1L),"Low-fat, pasteurized",MaitoMestarit
24%,49.00,Board Game,"Family strategy game, ages 8+",Pelitalo
24%,15.00,Scarf,"Wool blend, one size",Vaatteet Finland
24%,299.00,Smart TV 43","4K HDR, smart apps",NäyttöNorden
24%,6.80,Detergent (1L),"Liquid, suitable for all machines",PuhdasKoti
24%,89.00,Instant Camera,"Retro style, film included",Valokuvaus Oy
24%,2.90,Banana (kg),"Ripe and sweet",ToriMarket
24%,119.00,Electric Bicycle Accessory Kit,"Lights, lock, bell",PyöräPiste
24%,7.20,Conditioner (300ml),"Smoothing formula",KauneusKauppa
24%,39.90,Memory Card 128GB,"SDXC, fast write speeds",TietoTabletit
24%,5.00,Pen Set (5),"Smooth gel pens",PaperiShop
24%,59.00,Subscription (1 mo),"Streaming service, HD plan",MediaStream Oy
24%,4.50,Avocado (each),"Ready to eat",ToriMarket
24%,22.00,Work Lamp,"Clamp-on, adjustable brightness",ValoDesign
24%,9.90,BBQ Sauce (300ml),"Smoky flavor",RuokaRiemu
24%,179.00,Microwave Oven,"20L, grill function",Keittiö Kulma
24%,14.50,Table Runner,"Cotton, 140x40 cm",KotiSisustus
24%,3.50,Granulated Sugar (1kg),"White, fine grain",RuokaRiemu
24%,249.00,Singer Sewing Machine,"Compact, multiple stitches",KotiKäsityö
24%,11.90,Sports Water Bottle,"1L, with straw",SporttiStore
24%,699.00,Desktop PC,"Intel i5, 16GB RAM, 512GB SSD",TietoTabletit
24%,6.00,Trail Mix (200g),"Nuts, dried fruits",Kahvila & Co
24%,39.90,Electric Blanket,"Twin size, 3 heat settings",UniTarvikkeet
24%,4.80,Toilet Paper (12-pack),"3-ply, soft",KotiSisustus
24%,14.90,Photo Frame 10x15,"Wooden, wall or table display",Valokuvaus Oy
24%,2.20,Eggs (6),"Free-range, medium",MaitoMestarit
24%,29.90,Indoor Plant,"Potted, low maintenance",KotiSisustus
24%,85.00,Car Roof Box,"Large capacity, lockable",MatkaVaruste
24%,3.30,Tomato (each),"Vine-ripened",ToriMarket
24%,49.90,Electric Scooter Accessory,"Helmet, LED lights",PyöräPiste
24%,129.00,Set of Towels (3),"Absorbent cotton",KotiSisustus
24%,5.99,Protein Bar,"Chocolate flavor, 50g",SporttiStore
24%,39.00,Wall Clock,"Silent mechanism, modern design",KotiSisustus
0%,1200.00,Consulting Service (hr),"Business strategy session, per hour",Asiantuntija Oy
24%,29.00,Winter Gloves,"Insulated, touchscreen-compatible",Vaatteet Finland
24%,2.80,Apple (each),"Crisp, local variety",ToriMarket
24%,199.00,Set of Pots (3),"Non-stick, oven safe",Keittiö Kulma
24%,15.00,Yoga Mat,"Non-slip, 6mm thickness",SporttiStore
24%,7.99,Facial Mask (single),"Sheet mask with hyaluronic acid",KauneusKauppa
24%,59.90,Pet Bed,"Small size, machine washable",LemmikkiTalo
24%,4.40,Butter (200g),"Salted, creamy",MaitoMestarit
24%,349.00,Projector,"Portable, 1080p support",NäyttöNorden
24%,9.50,Candle Set (3),"Scented, long burn",KotiSisustus
24%,14.00,USB-C Cable (2m),"Fast charging, braided",TietoTabletit
24%,49.00,Tool Set (20 pcs),"Basic household tools",RautaKeskus
24%,3.70,Blueberries (125g),"Fresh, packed",ToriMarket
24%,89.90,Wireless Charger,"Fast charge pad",TietoTabletit
24%,22.00,Electric Toothbrush Heads (3),"Compatible replacement heads",Hammashuolto Oy
24%,15.90,BBQ Utensil Set,"4-piece, stainless steel",RuokaRiemu
24%,2.00,Mint Gum (pack),"Sugar-free",Makeiset & Co
